client_id,first_name,last_name,address,city,state,zip,primary_phone,payer_type,care_type,required_position,status,start_of_care_date,end_of_care_date,weekly_authorized_hours,emergency_contact,emergency_contact_phone
46,Nicholas,Butler,23583 Nicole Squares Apt. 318,Lake Richardstad,WV,95589,455-448-3860,LTC Insurance,Homemaker Services,CHHA,Discharged - Family Request,2026-07-02,2026-07-02,10,Sandra Tyler,+1-693-407-1692x0051
47,James,Villegas,877 Kenneth Port Suite 591,West Kevinshire,IN,8685,+1-402-385-8379x337,Private Pay,Companion Care,CG,Discharged - Family Request,2026-07-04,2026-07-05,14,Edward Edwards PhD,(625)998-6458x254
48,Mary,Jordan,00472 Erin Spring,Ashleeport,PA,1561,(915)864-7620x58446,Medicare,Respite Care,CG,Discharged - Completed,2026-07-04,2026-08-02,40,Michael Cruz,+1-764-473-5131
49,Susan,Davis,89849 White Rapid,Port Shawnchester,HI,73500,285.602.6595x58836,Medicare,Skilled Nursing,CG,Active,2026-07-05,,20,George Klein,289.764.3298
50,Joanne,Wallace,35746 Ruiz Path,Lake Bethtown,IA,60461,001-282-580-2655x6271,VA Benefits,Skilled Nursing,RN,Discharged - Deceased,2026-07-05,2026-08-05,8,James Taylor,630.886.2902
51,Daniel,Walker,1623 Blanchard Locks Suite 253,Kimberlyland,NJ,49394,+1-672-797-2283x732,VA Benefits,Companion Care,CHHA,Active,2026-07-07,,6,Kimberly Hayes,+1-803-617-9575x24632
52,James,Stone,33411 David Creek Apt. 510,North Michael,TN,57586,500-842-1389,VA Benefits,Homemaker Services,RN,Active,2026-07-09,,40,Joshua Allen,+1-938-501-1812x158
53,Stephen,Graves,362 Tara Fork,Port Jessicatown,MT,95522,(739)757-5995x230,Medicare,Skilled Nursing,RN,Active,2026-07-09,,8,Tracey Mitchell,001-972-667-4734x741
54,Jeremy,Lynch,33844 Albert Parkway Suite 311,East Michelebury,OK,10129,+1-598-865-4199x689,Medicare,Companion Care,CG,Active,2026-07-09,,6,Alexis Vasquez,5103826030
55,Linda,Clarke,7937 George Junction,Wilsonmouth,IL,76177,001-270-638-9790x69873,Private Pay,Respite Care,CG,Active,2026-07-10,,40,Amy Romero,001-878-355-3779x985
56,Claudia,Rodriguez,245 Kelsey Cove Apt. 923,South Robertville,HI,19216,+1-909-522-6893,LTC Insurance,Companion Care,CG,Active,2026-07-11,,20,Christy Cruz,395-549-6231
57,Donald,Burns,060 Campbell Ports Suite 890,North Frederickbury,VA,15187,(929)662-6119x4987,LTC Insurance,Respite Care,CNA,Active,2026-07-13,,6,Tony Lowe,268-566-1703
58,Jessica,Meyer,49127 Kyle Stravenue,North Barbara,IA,88500,(301)788-0629x1461,VA Benefits,Personal Care,LPN,Active,2026-07-16,,28,Andrea Henry,(599)825-0247x9799
59,Connie,Stone,030 Jerry Inlet,Charlesside,UT,96485,001-556-219-8287x42265,Private Pay,Skilled Nursing,CHHA,Active,2026-07-17,,8,Tyler Green,584-267-1989x6599
60,Sarah,Velazquez,066 Williams Squares Suite 955,West John,NY,57857,+1-463-590-7498x28492,LTC Insurance,Companion Care,LPN,Discharged - Family Request,2026-07-17,2026-08-22,4,Thomas Mason,930-385-3058x7624
61,Natalie,Johnson,5280 Edward Glens Apt. 200,Lake Jaclyn,IL,19243,8436716540,Medicare,Companion Care,CNA,Active,2026-07-18,,28,Kristen Leblanc,+1-651-526-2330x0724
62,Jody,Dominguez,294 Jillian Parks Apt. 641,East David,WY,98018,001-328-292-9703x835,Medicare,Homemaker Services,CNA,Active,2026-07-19,,20,Megan Hernandez,+1-752-657-6520
63,Jeffrey,Rodriguez,23318 Adams Station Suite 907,Raymondshire,MI,31395,597.406.3963x2281,VA Benefits,Companion Care,CNA,Discharged - Deceased,2026-07-19,2026-08-10,20,Shawn Evans,374-875-7735x572
64,Jennifer,Taylor,36644 Hernandez Path,Bellborough,HI,22827,(405)305-8218x340,Medicaid,Homemaker Services,CG,Active,2026-07-20,,6,Henry Walsh,(713)674-2613x57975
65,Kyle,Moore,580 Brown Rapid Apt. 782,Sharonfurt,HI,41997,888-650-5356x53155,VA Benefits,Skilled Nursing,CNA,Active,2026-07-20,,28,Emma Jordan,+1-979-737-5414x27298
66,Alexandria,Johnson,192 William Hollow,Roblesside,GA,75765,566-696-5239x163,Medicaid,Respite Care,CG,Active,2026-07-21,,28,Robin Gregory,9376340755
67,Benjamin,Ballard,98377 Thompson Summit Suite 687,Ryanberg,AR,74291,001-465-879-2315,Medicare,Personal Care,CHHA,Active,2026-07-22,,6,Scott Lee,001-963-408-2612x99182
68,Jeffrey,Wilkerson,1869 Barton Mission,East Kaylatown,UT,55032,440-532-3823,Private Pay,Respite Care,CG,Discharged - Completed,2026-07-22,2026-08-13,4,Robin Arnold,600-540-0178
69,Sara,Brown,685 Brown Club,South Riley,MP,83418,226-699-5766,VA Benefits,Companion Care,RN,Active,2026-07-22,,8,Kevin Mckenzie,+1-557-605-9927x212
70,Brian,Frederick,58718 Jerry Corners Apt. 389,Garciaburgh,FM,82045,001-707-732-7989,Medicaid,Homemaker Services,RN,Active,2026-07-23,,8,Meghan Huynh,+1-975-272-5502x5517
71,Kara,Williams,591 Craig Union,Waltershire,AR,73379,(397)803-7090,LTC Insurance,Skilled Nursing,LPN,Active,2026-07-24,,6,Megan Evans,(401)644-9883x9723
72,Michelle,Johnson,5600 Johnston Motorway Suite 521,Millershire,WY,54068,001-593-610-7898x28646,Medicaid,Skilled Nursing,CNA,Active,2026-07-25,,28,Charlotte Gomez,+1-550-826-9945x21538
73,John,Williamson,670 Jackson Mills Suite 809,West Jeffrey,DE,70823,560.911.2587x27401,Private Pay,Respite Care,CG,Active,2026-07-25,,20,Troy Perkins,(295)322-6061x58584
74,Anthony,Smith,400 Tina Grove,Mcgrathport,MH,36536,463-762-1376,Medicaid,Respite Care,CHHA,Active,2026-07-26,,10,Teresa Garcia,882-397-3722x3580
75,Brandon,Combs,8840 Mike Green,Alexfort,WV,48149,001-780-723-0682x79372,LTC Insurance,Homemaker Services,CHHA,Active,2026-07-26,,8,Andrea Becker,(300)427-0459
76,Sean,Rowe,9817 Campbell Turnpike,Lopezmouth,NM,35166,505.633.7228x72660,VA Benefits,Respite Care,CNA,Discharged - Family Request,2026-07-27,2026-08-23,20,Laura Perkins,+1-697-374-4039x66245
77,Brenda,Harvey,7749 Adrian Harbors Suite 677,Mendezmouth,PR,17935,211.255.2550x8858,Medicare,Skilled Nursing,CHHA,Discharged - Completed,2026-07-29,2026-07-30,6,Shannon Haney,483-855-4519x4358
78,Larry,Morales,98505 Pierce Tunnel Suite 337,New Melissaport,NY,8507,+1-578-519-4443x878,Medicare,Respite Care,CHHA,Active,2026-07-29,,6,Wayne Walsh,662.624.6452
79,Ryan,Yates,129 Savannah Throughway,Port Deniseborough,PW,21282,941.513.7475,Medicaid,Companion Care,CHHA,Active,2026-07-29,,20,Kelly Pollard,(718)460-5740x3918
80,Joseph,Myers,5778 Wolfe Land,Lake Paulville,IL,56768,+1-749-306-5862x416,Medicaid,Homemaker Services,LPN,Active,2026-07-30,,8,Lisa Johnson,361.853.8921x7830
81,Carolyn,Franco,03520 Nancy Turnpike Apt. 978,Lake Garystad,MD,96063,(505)945-1823,Medicare,Skilled Nursing,CHHA,Active,2026-07-31,,10,Michaela Perez,(614)382-8560x744
82,Bethany,Stevens,4196 Brown Ville Suite 671,South Jamie,ID,29679,+1-774-320-7354,Private Pay,Homemaker Services,LPN,Active,2026-08-01,,8,Jason Marshall,494.519.8008x8043
83,Jamie,Rice,587 Michelle Way Suite 980,South Whitneychester,NJ,70365,(961)696-5704,Medicaid,Homemaker Services,LPN,Active,2026-08-01,,4,Xavier Mullen,+1-989-590-0873x453
84,Jerry,Murphy,5846 Brooke Path Apt. 785,Lake Benjaminfort,MI,20842,399-422-8874x7818,Medicare,Respite Care,LPN,Active,2026-08-02,,8,Alan Wilson,+1-877-528-7256x5266
85,Michael,Hardin,5151 Butler Avenue,North Jennifer,DE,52490,220.917.1304x981,Medicare,Respite Care,CNA,Active,2026-08-03,,28,Juan Reid,932.974.0292x301
86,Lee,Benson,723 Wilson Burgs,Williamshire,WA,92116,(414)977-4496,Private Pay,Companion Care,RN,Active,2026-08-03,,14,Mr. Michael Mitchell,453-302-1104x234
87,Benjamin,Kaiser,578 Gina Bridge Apt. 965,Karafort,VA,39256,329-316-0838,Medicare,Skilled Nursing,LPN,Active,2026-08-03,,6,Robert Moore,750-567-7480x011
88,Michael,Anderson,703 Archer Falls Suite 863,East Cynthiaview,DE,29046,7656886290,Medicare,Companion Care,LPN,Discharged - Completed,2026-08-04,2026-08-04,6,Amanda Ewing,(548)573-6868
89,Matthew,Clark,6540 James Tunnel Suite 548,Lopezview,MI,86921,(510)973-1598,Medicare,Companion Care,RN,Active,2026-08-04,,40,Kelly Wolfe,851.448.2776
90,Charles,Thomas,7143 Thompson Burgs Suite 799,Lake Denise,ID,87888,297-799-8593,LTC Insurance,Skilled Nursing,RN,Active,2026-08-05,,6,Michael Becker,(381)743-1989x674
91,Johnny,Rollins,008 Abigail Place,Travisport,LA,60584,335.842.7326x9362,VA Benefits,Homemaker Services,CNA,Active,2026-08-05,,4,Katherine Patton,+1-872-723-3363x160
92,Leslie,Ramos,80774 Solomon River Suite 617,East Sarah,VA,86481,+1-883-369-8788,Medicare,Companion Care,RN,Discharged - Completed,2026-08-05,2026-08-30,20,Lauren Martinez,(311)847-8492
93,Jill,Arnold,829 Jordan Park,Hornside,SC,12610,001-791-912-8733x3259,VA Benefits,Companion Care,CG,Active,2026-08-06,,6,Jessica Gonzalez,919.681.0590
94,Mary,Valentine,460 Giles Trace,New Linda,AK,3364,693.952.3176x441,Private Pay,Homemaker Services,CHHA,Discharged - Hospitalized,2026-08-06,2026-08-09,40,Chris Jordan,(306)553-3002x562
95,David,Hendrix,30967 Armstrong Burg,New Andrewland,IA,7600,+1-276-894-0628,Medicaid,Respite Care,CG,Active,2026-08-07,,14,Amanda Mitchell,001-919-310-8568x27472
96,John,Owens,678 Ibarra Squares,Melanieton,TX,63534,(930)878-7297,Medicare,Homemaker Services,CHHA,Active,2026-08-07,,8,Anthony Wade,001-996-526-9087
97,Christine,Davis,92865 Martinez Cove,South Christineland,WY,71517,001-437-511-6645x9433,VA Benefits,Skilled Nursing,CNA,Active,2026-08-08,,10,Tanner Willis,001-948-511-5376
98,Mia,Phillips,7328 Crystal Mountain,Smithtown,TX,47176,+1-812-387-8543,LTC Insurance,Companion Care,CNA,Active,2026-08-08,,10,Jason Gordon,001-541-768-2785x86222
99,Allison,Hubbard,528 Rodriguez Wall,Timothystad,WI,94564,634-905-4127,VA Benefits,Homemaker Services,LPN,Active,2026-08-08,,4,Kerri Morton,859-749-1868
100,Toni,Lowe,48221 Kristen Squares Apt. 697,Vargasside,NY,6029,(971)696-7459,VA Benefits,Respite Care,LPN,Active,2026-08-09,,20,Patricia Ward,691.520.4575
101,Kelsey,Woods,0642 Peter Vista,New Hunter,NC,54174,488.855.2130x4575,Medicaid,Personal Care,CHHA,Active,2026-08-09,,40,Mark Peterson,937-725-3996
102,Kimberly,Munoz,3654 Salazar Mountains Apt. 241,East Joshua,GU,40932,9579607660,VA Benefits,Homemaker Services,LPN,Active,2026-08-10,,14,Scott Lopez,(915)387-3818x70234
103,Amy,Norman,219 Schneider Groves,Lake Brendaton,PW,53225,001-636-234-6998x5788,Private Pay,Skilled Nursing,CHHA,Active,2026-08-10,,14,Traci Rose,+1-730-365-0701x950
104,Kenneth,Griffin,035 Zachary Mountain Apt. 842,Port Michelle,CO,89415,472.536.1004,Medicare,Skilled Nursing,CHHA,Active,2026-08-11,,40,Christy Fields,790-554-3143x1820
105,Amy,Ramsey,560 Simon Mall Apt. 427,West Michaelchester,CT,26316,419.524.0814x56092,LTC Insurance,Skilled Nursing,CNA,Discharged - Hospitalized,2026-08-11,2026-08-18,14,Rachel Cox,+1-751-917-8421x6348
106,Danny,Maldonado,437 Gonzales Village Apt. 426,West Stevenchester,LA,86395,796.555.2245x63154,Private Pay,Companion Care,RN,Active,2026-08-12,,10,Kevin Jackson,4596625698
107,Kari,Jones,999 Proctor Dale,South Michele,GA,54992,001-744-614-9497x391,Medicaid,Homemaker Services,LPN,Active,2026-08-13,,40,Carlos Parks,+1-262-204-9796x3919
108,Jerry,Walters,56324 Weber Mission,Davisberg,AS,81537,(972)926-6402x89766,VA Benefits,Companion Care,CNA,Active,2026-08-13,,14,Daniel Mcguire,(966)497-0587
109,Robert,Richards,2559 Taylor Crescent Suite 975,Port Elizabeth,FM,90245,985-952-1955,Private Pay,Respite Care,CHHA,Active,2026-08-16,,20,Jonathon Middleton,001-791-341-5192x09028
110,Lisa,Davidson,708 Welch Square Apt. 028,West Christophermouth,NE,25311,821.773.1065x6664,Medicaid,Skilled Nursing,RN,Active,2026-08-16,,6,Antonio Conway,3284722991
111,Jason,Rogers,438 Shaw Walk,Mortonstad,PW,86874,216.365.6555x1476,Private Pay,Skilled Nursing,RN,Active,2026-08-16,,40,James Bird,547.776.3522x71503
112,Ashley,Schwartz,704 Buck Road Suite 659,Harrisfort,OH,26419,(448)715-1257x02284,LTC Insurance,Homemaker Services,LPN,Active,2026-08-17,,6,Daniel Kim,001-797-262-6982
113,Christopher,Schaefer,24713 Perez Branch,East Shelby,MI,3978,001-589-435-7765x9008,LTC Insurance,Personal Care,LPN,Active,2026-08-18,,20,Cheryl Sutton,(848)270-6615x2267
114,Kelsey,Munoz,113 Allen Lock,North April,NM,13188,+1-459-780-5741x17169,Medicare,Companion Care,CG,Active,2026-08-18,,8,Valerie Shaw,788.302.7331x447
115,Larry,Brown,8303 Darlene Islands,Pageport,MI,9101,001-530-833-2396x5174,LTC Insurance,Companion Care,RN,Active,2026-08-19,,4,Christine Jennings,8403555536
116,Maria,Thomas,13295 Michelle Road Apt. 308,Gregoryside,MP,9289,(474)212-2392x5263,VA Benefits,Personal Care,CNA,Active,2026-08-21,,8,Jennifer Romero,+1-622-409-2012x7706
117,Amanda,Li,43414 Justin Lodge Apt. 440,Susanhaven,OK,58913,240.563.9538x60873,VA Benefits,Companion Care,CHHA,Active,2026-08-21,,14,Courtney Parrish,366-841-9660
118,Shawn,Todd,818 Patterson Highway Suite 457,Fitzgeraldmouth,FL,82642,+1-491-429-8413x476,Medicaid,Personal Care,CNA,Active,2026-08-23,,20,Nicholas Weaver DDS,5046836272
119,Stephanie,Wilson,3136 Robert Trace Apt. 513,Guzmanhaven,AZ,27075,+1-537-468-4403x5937,Medicaid,Skilled Nursing,CNA,Active,2026-08-23,,8,Kelly Jacobs,375.251.8742x58650
120,Benjamin,Conrad,13842 Cunningham Vista Apt. 541,North Jason,AL,40894,+1-207-699-2510x611,LTC Insurance,Companion Care,CNA,Active,2026-08-23,,14,Christopher Gray,474-434-4870
121,James,Nolan,1462 Russell Crossing Apt. 709,Lake Shane,FM,44789,886.445.4301x5392,Medicaid,Homemaker Services,RN,Active,2026-08-24,,8,Thomas Murphy,(839)424-7835x74450
122,John,Dougherty,08519 Mckinney Mission Suite 511,Shermanport,LA,23545,509-588-5973x3177,Private Pay,Homemaker Services,CG,Active,2026-08-25,,4,Christopher Green,001-710-977-7860x2825
123,James,Holland,290 Carlos Island Apt. 963,Timothyland,PR,94025,2734224538,VA Benefits,Respite Care,RN,Active,2026-08-26,,10,Kayla Mata,714.590.9718x724
124,John,Harrison,94430 Wilson Lodge Suite 788,New Robert,FM,64792,+1-307-388-4701x4622,Private Pay,Respite Care,LPN,Active,2026-08-26,,10,Tyler Hess,001-983-817-6228x43980
125,Brenda,Carter,6121 Steve Hollow Apt. 108,Jordanport,OK,79254,305.980.7167,LTC Insurance,Skilled Nursing,LPN,Active,2026-08-27,,4,Bethany Jensen,957-374-8793x5643
126,Joseph,Mason,7327 Monroe Islands,East Meganland,ND,96147,001-772-760-3965x95750,Private Pay,Respite Care,CG,Active,2026-08-27,,20,Deborah Hinton,(611)589-4977
127,Andrew,Murphy,1619 Bradley Dale,West Laurastad,TN,75725,357.482.6932x0789,LTC Insurance,Skilled Nursing,LPN,Active,2026-08-28,,20,Mr. Danny Blevins,(906)605-4885x72284
128,Eric,Simmons,8311 Lisa Track Apt. 770,Joseshire,FL,24202,378.785.0914x7195,Medicare,Personal Care,CHHA,Active,2026-08-29,,40,Sara Curtis,001-318-932-6715x87073
129,Cassandra,Miller,588 Laura Ranch Apt. 747,Port Bradleyport,NV,48400,716-685-8651x14121,Medicare,Homemaker Services,RN,Active,2026-08-30,,14,April Irwin,+1-581-861-6115x0337
130,Jonathan,Montes,86620 Joseph Rue Suite 891,West Johnton,AL,94406,001-405-832-3792,Medicare,Skilled Nursing,CNA,Active,2026-08-30,,14,Christopher Love,763.790.2276x523
131,Paul,Brady,829 Denise Landing,East Vanessaton,MO,79779,001-838-655-9733x5850,Medicare,Respite Care,CNA,Active,2026-09-01,,28,Marilyn Alvarado,001-310-332-3625x22315
132,Caleb,Harrison,009 Kathryn Passage,Sheltonmouth,MO,87108,+1-637-483-4456x342,Medicaid,Respite Care,RN,Active,2026-09-02,,20,Samantha Paul,2285921192
133,Ashley,Lewis,59368 White Walks,Jasonshire,ME,18773,8305692262,Private Pay,Personal Care,CG,Active,2026-09-02,,14,Edwin Diaz,499.330.9791x5360
134,Jeffery,Flores,889 Mccarthy Drive,Wallacechester,NV,86906,999-745-8788,VA Benefits,Personal Care,CG,Active,2026-09-02,,40,Stephanie Price,(550)453-6388x39687
135,Johnathan,Nichols,70442 Huber Extensions,New Christopher,MD,6986,001-747-998-1289,VA Benefits,Personal Care,LPN,Active,2026-09-04,,28,Jorge Kent,620.995.7449
136,Craig,Vasquez,9391 Jake Road Apt. 316,Port Terri,PA,87928,238.961.8398x5582,Medicare,Skilled Nursing,LPN,Active,2026-09-04,,6,Joseph Miller,569-993-7906x76473
137,Emily,Mosley,971 Scott Locks,Warrenstad,LA,24808,967.713.5263,Medicare,Respite Care,RN,Active,2026-09-04,,20,Kathryn Smith,001-237-977-5646
138,Kathy,Smith,95583 Jeremy Valley Apt. 882,Ashleyton,OH,38951,573.989.9090x506,VA Benefits,Skilled Nursing,LPN,Active,2026-09-05,,4,Dillon Gregory,(713)943-2382x392
139,Rebecca,Walker,993 Troy Ferry,Port Jeffreybury,MA,23760,538-362-9408x172,Private Pay,Companion Care,CG,Active,2026-09-05,,28,Scott Harris,001-814-785-9387x0634
140,Debra,Adkins,279 White Parks,West Janestad,MP,8764,(427)672-4574x11046,Private Pay,Companion Care,RN,Active,2026-09-06,,40,Brandon Morrison,(633)778-4272
