employee_id,first_name,last_name,address,city,state,zip,primary_phone,email,status,last_shift_date,position,base_pay_rate,current_rating,last_appraisal_date,next_appraisal_date,hire_date,terminated_date,rehire_date,cpr_date,pto_balance,commitment_hours,age,dob,gender,education,languages,emergency_contact,emergency_contact_phone,emergency_instructions
12,Jonathan,Brown,80066 Cox Dam,Isaacborough,NC,56326,,holly41@example.org,Active - Not Currently Available,2025-02-08,LPN,55.29721250682005,4 - Exceeds Expectations,2025-03-19,2025-12-24,2025-03-05,,,2025-08-13,22,29,24,2001-08-09,Female,4 year College,"English, French",Charles Dalton,,Leave something write only leader star standard.
13,Patricia,Grant,7215 Cheyenne Freeway Suite 897,Jonesville,FM,8064,,xramirez@example.com,Active - Not Currently Available,2022-06-21,LPN,16.326033262010867,1 - Unacceptable,2022-09-26,2026-07-31,2025-06-08,,,2024-09-08,28,16,51,1974-05-23,Male,Associate Degree,"English, Spanish",Chase Fleming,990-478-1028,While arrive stuff.
14,Anthony,Hardin,24570 Amy Spurs,Raybury,MP,3681,,ellislindsey@example.org,Resigned/Separated - Not Eligible for Rehire,2016-02-21,CNA,68.9126680148716,3 - Meets Expectations,2014-04-13,2026-01-05,2025-12-11,,,2024-09-28,11,10,22,2003-01-10,Female,High School,English,Ryan Adams,,Apply decade its hot include just nature myself.
15,Rachel,Williams,86117 Vincent Expressway Suite 151,Pedroview,MN,83640,744-828-7432,brandymiller@example.net,Resigned/Separated - Eligible for Rehire,2025-05-17,LPN,24.70202328710399,4 - Exceeds Expectations,2022-03-13,2026-04-11,2025-11-26,,,2024-12-13,28,4,24,2001-06-17,Female,High School,"English, French",Johnny Smith,784-428-4795,Professional water above north individual add never.
16,Ryan,Ball,2771 Carney Street Suite 685,Grimeshaven,NE,84142,555-289-5927,mitchell23@example.com,Resigned/Separated - Not Eligible for Rehire,2021-02-15,CHHA,50.46733227379485,0 - Not Applicable,2019-12-07,2026-05-08,2025-01-13,2025-12-15,,2024-12-03,7,3,67,1958-10-31,Female,4 year College,English,Natalie Ellison,242-612-5382,Education view hospital several figure necessary.
17,Joyce,Patrick,149 Flynn Loaf Apt. 763,Jennifermouth,TN,64459,592-830-9156,rwilson@example.net,Terminated - Unemployable,2021-01-12,CG,34.56670265628336,3 - Meets Expectations,2020-10-20,2026-05-03,2025-10-30,,,2025-11-04,10,21,68,1957-07-05,Female,Associate Degree,English,Seth Boyd,321-319-2032,So consider question whom couple note.
18,Laura,Ferguson,2621 Lee Bridge,Lake Meghan,WA,38044,,john97@example.net,Active - Not Currently Available,2023-03-22,LPN,33.83931108981571,4 - Exceeds Expectations,2025-03-31,2026-09-29,2025-03-09,,,2025-09-01,9,35,68,1957-10-03,Female,Associate Degree,English,Eduardo Roberts,,Movement buy anything machine should.
19,William,Sampson,4275 Franco Rue Apt. 009,Kaylaside,NY,31957,428-718-3095,jenna63@example.net,Resigned/Separated - Eligible for Rehire,2023-08-05,RN,62.7923956607808,1 - Unacceptable,2023-09-06,2026-07-23,2025-07-24,2025-12-17,,2025-03-05,37,35,60,1965-10-21,Female,4 year College,English,Robert Jones,,Attack every again direction together talk several.
20,Martha,Buchanan,6719 Green Fields,Marymouth,WI,85546,937-212-6794,phillipparker@example.com,Active - Not Currently Available,2023-07-14,CG,58.19407371243018,0 - Not Applicable,2019-06-09,2026-06-07,2025-03-11,,,2024-07-05,32,16,53,1972-04-08,Male,4 year College,English,Tammy Hatfield,,Seem computer alone wait close.
21,John,Williams,4244 Sara Vista,Shannonmouth,LA,44416,683-634-8364,aallen@example.org,Resigned/Separated - Eligible for Rehire,2019-12-13,LPN,29.50592628692204,1 - Unacceptable,2025-05-04,2026-11-03,2025-05-27,2025-12-14,,2025-02-28,6,24,57,1968-02-10,Female,Associate Degree,English,Steven Clark,,Drop call effect mouth five.
22,Dylan,Gregory,80905 Olivia Ridges,Riggsview,NV,32852,312-523-9897,alexanderblack@example.com,Resigned/Separated - Eligible for Rehire,2019-02-12,LPN,63.82712216776298,1 - Unacceptable,2018-04-11,2026-11-27,2025-01-12,,,2024-01-29,45,16,67,1958-02-20,Male,4 year College,English,Samantha Martin,249-822-7035,Word institution drug suggest push party effort prevent.
23,Timothy,Peterson,13220 Smith Crossing,Lake Wayne,NJ,95375,926-636-9794,cfreeman@example.net,Terminated - Unemployable,2023-08-30,ADMIN,67.22981783875706,1 - Unacceptable,2016-05-05,2026-06-17,2025-04-10,,,2024-11-19,31,34,32,1993-08-05,Male,Associate Degree,"English, French",Hailey Fox,573-546-4159,High power current.
24,Robert,Morris,701 Meyer Ridge Apt. 192,Lawsonfurt,PA,54367,,jennifer39@example.com,Resigned/Separated - Not Eligible for Rehire,2020-08-05,RN,17.345965047978805,1 - Unacceptable,2025-03-25,2026-08-26,2025-02-06,2025-12-17,,2024-09-16,32,7,71,1954-05-07,Female,High School,English,Anthony Phillips,635-393-2997,Area relationship edge affect.
25,Tiffany,Cole,38226 Tara Hollow,West Kim,TX,88290,,john32@example.net,Resigned/Separated - Eligible for Rehire,2012-07-15,CG,20.468056773993496,1 - Unacceptable,2016-02-25,2026-08-16,2025-09-13,,,2025-05-18,32,35,45,1980-04-02,Male,4 year College,"English, Spanish",Sean Short,,Article history give anyone gas condition.
26,Matthew,Myers,86465 Hancock Walks Apt. 617,Reillymouth,WA,2544,,darren23@example.org,Resigned/Separated - Eligible for Rehire,2025-10-07,CHHA,17.37919307324375,0 - Not Applicable,2025-10-23,2026-01-27,2025-09-03,,,2025-01-04,19,32,73,1952-07-25,Female,Associate Degree,"English, Spanish",Dawn Wheeler,,Else while huge before.
27,Spencer,Gilbert,32345 Owens Alley,Lake Latasha,NH,68151,,alyssamullins@example.net,Resigned/Separated - Eligible for Rehire,2023-08-20,CNA,62.94573572089295,4 - Exceeds Expectations,2013-10-14,2026-01-15,2025-10-12,,,2024-01-06,24,34,74,1951-04-22,Female,Associate Degree,"English, Spanish",Janet Taylor,,Recent drive now think sort wrong apply.
28,Sarah,Newman,78827 Michelle Lights Apt. 905,Jacobfurt,WV,25898,,ntorres@example.net,Resigned/Separated - Not Eligible for Rehire,2024-04-14,CNA,37.14272705563679,3 - Meets Expectations,2025-10-16,2026-07-29,2025-03-26,2025-12-22,,2025-06-27,44,33,44,1981-07-23,Female,4 year College,"English, French",Jennifer Graham,947-532-0240,Two green fine responsibility.
29,William,Johnston,36416 Jonathan Extension Apt. 697,Chadmouth,WY,86350,,christopher28@example.org,Active - Not Currently Available,2023-09-09,CNA,37.522475668560425,4 - Exceeds Expectations,2023-02-18,2026-01-17,2025-10-16,,,2025-09-19,44,17,25,2000-12-10,Female,4 year College,English,Sheila Williams,624-825-4209,Customer as instead summer sit civil.
30,Michelle,Stafford,37766 Garcia Dam Apt. 729,Taramouth,IL,47986,,walkervalerie@example.com,Resigned/Separated - Eligible for Rehire,2024-06-23,RN,71.34553762747322,4 - Exceeds Expectations,2024-04-23,2026-06-28,2025-02-05,,,2025-11-18,0,17,69,1956-05-10,Female,4 year College,"English, Spanish",Marcus Pineda,826-499-8137,Senior behind pull American about.
31,Thomas,Rodriguez,5400 Melissa Loop Apt. 969,Jillmouth,UT,97135,(481)724-9180,nashlaura@example.net,Resigned/Separated - Eligible for Rehire,,CG,45.07,3 - Meets Expectations,,,2025-12-14,2025-12-17,,2025-09-19,12,19,43,1982-07-22,Female,4 year College,"English, Spanish",Cindy Smith,7316954339,Often surface apply player sense resource half.
32,John,Anthony,21759 Ian Stravenue Suite 068,Virginiafurt,PW,40980,9929014384,dbutler@example.org,Resigned/Separated - Not Eligible for Rehire,,ADMIN,38.84,0 - Not Applicable,,,2025-12-14,2025-12-17,,2026-06-27,17,15,74,1951-04-29,Female,4 year College,"English, Spanish",David Smith,+1-516-628-4866,Nature real practice continue realize the wish.
33,Austin,Coleman,2083 Sanchez Shoals Apt. 391,West Kentville,WV,31547,+1-863-443-5945x030,epeterson@example.com,Resigned/Separated - Not Eligible for Rehire,,CG,73.94,1 - Unacceptable,,,2025-12-14,2025-12-15,,2025-05-31,33,24,48,1977-12-19,Male,4 year College,"English, French",Bobby Williams,001-798-488-3275,Whom describe what set.
34,Kenneth,Schultz,556 Evans Isle,West Ronaldtown,AK,13386,657-294-2620,jamesdavis@example.org,Resigned/Separated - Not Eligible for Rehire,,LPN,70.43,0 - Not Applicable,,,2025-12-14,2025-12-14,,2024-12-01,19,11,28,1997-08-17,Male,High School,English,Jack Edwards,891.739.4307x9807,These rule manager then.
35,Jaclyn,Scott,4169 Ross Stravenue,New Jennifer,ID,89610,4176427836,raymondmason@example.com,Resigned/Separated - Eligible for Rehire,,CHHA,26.26,3 - Meets Expectations,,,2025-12-15,2025-12-17,,2026-11-20,18,12,39,1986-01-03,Female,Associate Degree,English,Nicholas Barker,(296)651-8544x8324,Say practice character poor.
36,Robert,Gardner,472 Ellis Vista Suite 415,Lake Amandahaven,MO,96920,5577433374,rhondagarcia@example.com,Resigned/Separated - Eligible for Rehire,,CHHA,66.4,1 - Unacceptable,,,2025-12-15,2025-12-17,,2024-08-06,19,2,43,1982-09-20,Male,4 year College,"English, French",Martin Holmes,001-915-695-8389,Agent run deal history difficult three special.
37,Shelia,Jackson,03991 Cortez Manor Suite 640,New Jeffery,DC,65678,+1-490-307-5610x763,jstevens@example.com,Resigned/Separated - Eligible for Rehire,,CNA,33.47,3 - Meets Expectations,,,2025-12-15,2025-12-20,,2024-02-28,3,9,57,1968-01-03,Male,4 year College,English,Rhonda Price,455.556.6996x1028,Town its adult certainly shoulder every.
38,Marcus,Chavez,066 Weiss Hills,Robertfort,MA,96699,001-259-481-5034x645,norman18@example.org,Resigned/Separated - Eligible for Rehire,,LPN,50.95,3 - Meets Expectations,,,2025-12-15,2025-12-17,,2025-11-22,27,6,65,1960-09-27,Male,4 year College,English,Lisa Allen,+1-843-677-6598x91873,Whatever sense PM walk.
39,Charles,Williams,1741 Charles Glen,East Mark,OK,7204,604-217-2648,michael97@example.net,Resigned/Separated - Eligible for Rehire,,RN,53.46,3 - Meets Expectations,,,2025-12-15,2025-12-15,,2026-08-24,40,40,45,1980-04-23,Male,High School,"English, Spanish",Monique Patton,001-425-399-0347x40682,Bar art no finish.
40,Richard,Holland,542 Cooper Motorway,Victoriahaven,AL,66029,(266)861-4358x85502,laura56@example.org,Resigned/Separated - Eligible for Rehire,,CG,53.73,0 - Not Applicable,,,2025-12-16,2025-12-28,,2026-03-03,34,33,61,1964-08-16,Male,High School,"English, Spanish",Dustin Jones,001-470-877-6745,Quite purpose change wait player compare share drive.
41,Sara,Lamb,1380 Miranda Motorway,Lyonsburgh,NM,44264,866-463-8036x7471,michelle06@example.org,Resigned/Separated - Eligible for Rehire,,ADMIN,68.37,4 - Exceeds Expectations,,,2025-12-16,2025-12-17,,2024-09-18,9,31,59,1966-07-27,Male,Associate Degree,"English, Spanish",Matthew Mitchell,001-336-665-2728x0629,Several answer note.
42,Diane,Barrera,316 Fernandez Run,Mcguireshire,SD,21177,(636)469-9024x55279,shellymiller@example.com,Resigned/Separated - Eligible for Rehire,,ADMIN,16.2,0 - Not Applicable,,,2025-12-16,2025-12-16,,2025-05-17,8,24,56,1969-02-14,Female,Associate Degree,English,Michael Morton,998.551.0177x7049,Fall company alone piece.
43,Roger,Garcia,620 Joseph Plain,Port Chad,GU,7248,+1-747-722-1373x21808,morrisandrew@example.org,Resigned/Separated - Eligible for Rehire,,RN,50.24,0 - Not Applicable,,,2025-12-17,2025-12-23,,2025-06-13,14,30,72,1953-06-07,Male,4 year College,"English, French",Jason Roberts,838-452-2245x50698,Ball news culture conference feeling peace.
44,James,Villanueva,19457 Russell Forge Suite 226,Roachville,VA,5934,289.576.3297x57727,kfrench@example.net,Resigned/Separated - Eligible for Rehire,,ADMIN,20.28,0 - Not Applicable,,,2025-12-17,2025-12-20,,2025-03-24,40,31,24,2001-07-18,Female,Associate Degree,"English, Spanish",Susan Aguirre,9179883708,Show price up its wrong.
45,Thomas,Jones,367 Jackson Ridge Suite 476,Lake Monique,OH,36569,752-845-0545,powersjoseph@example.com,Resigned/Separated - Eligible for Rehire,,LPN,46.99,0 - Not Applicable,,,2025-12-17,2025-12-26,,2024-05-22,38,27,18,2007-11-24,Male,4 year College,"English, Spanish",Karen Beltran,697-680-0875,Six most foot these benefit stay.
46,Alicia,Wilcox,229 Kaitlyn Overpass,Allenland,MS,25927,+1-308-539-1172,uoconnor@example.org,Resigned/Separated - Eligible for Rehire,,ADMIN,25.11,4 - Exceeds Expectations,,,2025-12-17,2025-12-20,,2024-05-30,6,22,51,1974-04-30,Female,Associate Degree,"English, Spanish",Robin Jones,(399)488-1115,Try operation whom Republican bar information forward.
47,Michelle,Olsen,7456 Eric Forges Apt. 499,New Timothy,LA,40739,851.288.6887x27796,caitlinyoung@example.net,Resigned/Separated - Not Eligible for Rehire,,LPN,39.21,1 - Unacceptable,,,2025-12-17,2025-12-20,,2025-12-22,37,16,74,1951-06-15,Female,4 year College,"English, French",Robert Dillon,975.426.7381,Describe white develop.
48,Alicia,Blevins,1004 Moore Passage,Port Kimberlyfurt,KS,35199,001-565-726-6264x70495,maxwellcurtis@example.com,Resigned/Separated - Not Eligible for Rehire,,CNA,53.8,3 - Meets Expectations,,,2025-12-17,2025-12-20,,2024-12-04,34,39,50,1975-06-10,Female,4 year College,"English, Spanish",Kevin Chang,4496830061,Small activity attorney cold half they.
49,David,Flynn,623 Franco Lake,North Aprilton,TX,47722,365.935.0592,autumnbranch@example.com,Resigned/Separated - Not Eligible for Rehire,,LPN,53.57,3 - Meets Expectations,,,2025-12-17,2025-12-17,,2024-07-20,7,2,43,1982-01-19,Female,4 year College,"English, French",Nancy Mosley,(418)514-9183,Because glass fine space list foot difference.
50,Tanya,Rivera,29322 David Roads Suite 214,South William,SC,67233,+1-790-634-8397x62547,mcguirekathryn@example.org,Resigned/Separated - Eligible for Rehire,,CNA,34.63,0 - Not Applicable,,,2025-12-17,2025-12-22,,2025-02-01,29,27,70,1955-11-17,Male,4 year College,"English, French",Lisa Powell,596.531.2563,Want force discussion face.
51,Sandra,Williams,46564 Alexandria Summit Suite 015,North Emily,KY,55646,+1-521-974-3604x42899,sabrinafrancis@example.org,Resigned/Separated - Eligible for Rehire,,CNA,64.75,3 - Meets Expectations,,,2025-12-17,2026-01-05,,2025-06-12,20,9,24,2001-08-08,Male,High School,"English, Spanish",Ashley Gilbert,964-607-4855x630,Over cost check budget also brother.
52,Jason,Morris,27588 Hobbs Passage Suite 526,Carterport,TN,79919,001-912-635-6569x18674,samanthacordova@example.net,Resigned/Separated - Eligible for Rehire,,ADMIN,30.87,3 - Meets Expectations,,,2025-12-20,2026-01-04,,2026-08-16,9,28,72,1953-09-25,Male,4 year College,"English, French",Brian Park,+1-393-553-1216x937,Stop share discuss PM audience no television recently.
53,Meghan,Simpson,232 Mckenzie Road,East Austin,GU,99020,942-901-8197x69456,brandonsmith@example.com,Resigned/Separated - Eligible for Rehire,,RN,28.01,0 - Not Applicable,,,2025-12-20,2025-12-21,,2024-05-25,19,32,66,1959-01-22,Male,4 year College,"English, French",Margaret Barrett,+1-218-237-2275,Down most that likely rate ball white make.
54,Leah,Haney,35278 Walker Fall Apt. 926,South Elizabethhaven,MH,96872,403.638.1622x877,jenkinsamanda@example.net,Resigned/Separated - Not Eligible for Rehire,,CHHA,27.4,1 - Unacceptable,,,2025-12-20,2025-12-24,,2025-07-17,23,10,39,1986-07-27,Female,High School,"English, Spanish",Randy Allen,4167520306,Sea reason city.
55,Justin,Perez,4867 Melissa Mission,Carterton,SC,64397,939-818-9937x65677,fgolden@example.net,Resigned/Separated - Not Eligible for Rehire,,CHHA,43.78,3 - Meets Expectations,,,2025-12-20,2025-12-25,,2024-03-10,21,7,59,1966-09-09,Female,4 year College,"English, French",Mark Cox,+1-270-841-7738x02567,Black the news when political increase scene evidence.
56,Cheryl,Reed,56571 Todd Square Apt. 561,Curtistown,NH,99364,(959)942-4151x4165,edwardssarah@example.org,Resigned/Separated - Not Eligible for Rehire,,CG,64.27,1 - Unacceptable,,,2025-12-20,2025-12-21,,2024-03-12,33,18,72,1953-05-16,Female,High School,"English, Spanish",Fernando Burns,(319)517-7902x5958,Sense level past camera whether.
57,Bradley,Fernandez,29949 Danielle Plain,New Tiffany,IN,2990,+1-763-956-2831x214,cohenalyssa@example.com,Resigned/Separated - Eligible for Rehire,,ADMIN,46.41,0 - Not Applicable,,,2025-12-20,2025-12-22,,2026-04-22,22,2,58,1966-12-21,Male,4 year College,"English, Spanish",Samuel Jackson,001-466-616-8864x347,Market huge single movement everything door section space.
58,Amanda,Novak,9850 Martinez Fords,Patriciabury,AR,14131,001-206-897-7587x3393,wendy17@example.org,Resigned/Separated - Eligible for Rehire,,RN,38.54,1 - Unacceptable,,,2025-12-20,2026-01-15,,2024-09-08,16,21,63,1962-10-27,Male,High School,English,Dean Swanson,5327126628,Among their reach adult loss.
59,Guy,Jackson,2969 Johnson Drives,Vincentland,PR,82435,(899)298-7388x552,davidperez@example.com,Resigned/Separated - Eligible for Rehire,,CHHA,74.14,1 - Unacceptable,,,2025-12-20,2025-12-20,,2026-10-18,37,3,30,1995-07-20,Female,High School,"English, Spanish",Anne Hudson,903.434.7827,Score wife serious leader.
60,Carlos,Sanders,48160 Blair Valley,North Bobbyfurt,OK,68726,926-474-2356,cooperamber@example.com,Resigned/Separated - Eligible for Rehire,,CNA,59.49,3 - Meets Expectations,,,2025-12-21,2026-01-07,,2026-06-15,12,30,48,1977-04-15,Male,4 year College,"English, Spanish",Trevor Brown,(296)772-7856x69869,Heavy along stand hard fill heart science.
61,Kevin,Gilmore,10299 Deborah Passage Apt. 505,Johnsontown,TX,59695,892.824.7763x18623,david54@example.com,Resigned/Separated - Eligible for Rehire,,CNA,56.43,3 - Meets Expectations,,,2025-12-22,2025-12-25,,2026-06-05,30,30,43,1982-06-06,Male,4 year College,English,Curtis Roberts DDS,(245)226-6944,Then provide section either hour.
62,Ann,Graham,99551 Brown Glen,Lake Kimberly,SD,78435,659.459.4601x496,kelly25@example.net,Resigned/Separated - Eligible for Rehire,,CG,32.76,4 - Exceeds Expectations,,,2025-12-22,2025-12-24,,2026-10-15,28,39,75,1950-06-09,Female,High School,English,Margaret Fernandez,(847)315-4684x8379,Blood rich play important determine.
63,Philip,Mcdaniel,5314 Justin Prairie Apt. 548,Schwartzfurt,FL,51610,(497)596-3804x98978,vstevens@example.net,Resigned/Separated - Eligible for Rehire,,CNA,55.53,3 - Meets Expectations,,,2025-12-23,2025-12-27,,2024-09-23,5,18,53,1972-07-09,Female,High School,English,Kimberly King,596.823.9356,Himself ever into just shake everything weight.
64,Bob,Weiss,860 Cindy Plains Suite 803,Ericfurt,MA,61533,(791)612-9672x5933,englishcharles@example.org,Resigned/Separated - Not Eligible for Rehire,,CHHA,29.93,1 - Unacceptable,,,2025-12-23,2025-12-26,,2025-03-10,39,19,35,1990-09-11,Female,High School,"English, French",William Case,(883)273-9136,More billion staff happen indicate out.
65,Scott,Johnson,4251 Leslie Stream Suite 212,Markstad,TN,58825,410.994.8583,marshdarrell@example.org,Active,,RN,19.5,0 - Not Applicable,,,2025-12-24,,,2024-01-17,14,3,39,1986-01-17,Male,Associate Degree,"English, Spanish",Robert Scott,302.499.7977,Relationship call leave class boy pay identify.
66,Erica,Porter,4642 Braun Divide,North Katherineside,WY,92887,658-808-6929,htanner@example.com,Resigned/Separated - Eligible for Rehire,,CG,26.97,0 - Not Applicable,,,2025-12-24,2026-01-10,,2026-06-12,24,11,72,1953-11-30,Female,4 year College,"English, Spanish",Jennifer Tran,+1-241-592-8453x7403,Behind process plan trouble.
67,Matthew,Hopkins,4562 Barbara Village,South Gregory,ID,49565,712.941.5169x385,kelly23@example.net,Resigned/Separated - Eligible for Rehire,,LPN,67.55,3 - Meets Expectations,,,2025-12-24,2025-12-28,,2024-02-16,15,18,59,1966-09-17,Male,High School,"English, Spanish",April Smith,001-379-256-3198x649,He better by compare note human.
68,Peter,Gill,0157 Holloway Wells,Royberg,NJ,18133,(359)621-9193,rachelpeterson@example.org,Resigned/Separated - Eligible for Rehire,,CG,41.43,4 - Exceeds Expectations,,,2025-12-24,2026-01-06,,2024-01-12,31,37,64,1961-05-18,Male,Associate Degree,English,Kyle Houston Jr.,001-661-739-7217,Growth blue program.
69,Mary,Anderson,0484 Robinson Village Apt. 796,Lake Elizabethmouth,FM,23455,891.568.5558,yfriedman@example.net,Resigned/Separated - Not Eligible for Rehire,,ADMIN,38.76,1 - Unacceptable,,,2025-12-25,2026-01-01,,2026-10-25,14,7,37,1988-07-17,Female,High School,English,Karen Nguyen,898-563-4133x43349,Notice return hold same.
70,Kelly,Williams,1533 Brandon Villages,New Josephview,PW,87020,726.894.3290x50229,bethanyschwartz@example.org,Resigned/Separated - Eligible for Rehire,,CNA,70.77,0 - Not Applicable,,,2025-12-25,2026-01-01,,2024-03-08,7,3,32,1993-03-18,Female,Associate Degree,"English, Spanish",Jessica Galloway,(692)308-7124,Meeting amount left what international training.
71,Sandra,Fletcher,765 Knight Burgs,Perkinsberg,OK,29646,233-983-7885x701,kwright@example.org,Active,,LPN,69.63,0 - Not Applicable,,,2025-12-25,,,2025-03-18,26,13,53,1972-05-25,Female,4 year College,"English, Spanish",Shannon Parker,(791)789-1279x08990,Case fear late protect ready.
72,Melissa,Cooley,8935 Martin Shore,Jenniferfort,MA,72905,989-275-3834,eric53@example.com,Resigned/Separated - Not Eligible for Rehire,,LPN,61.92,0 - Not Applicable,,,2025-12-25,2025-12-26,,2024-03-02,7,8,25,2000-10-10,Female,Associate Degree,"English, Spanish",John Horne,4063681505,Inside trade member east.
73,Deborah,Miranda,68652 Elaine Port Apt. 481,North Moniqueside,CO,34093,680-252-5278x79222,sarahlawson@example.com,Resigned/Separated - Eligible for Rehire,,CNA,27.33,0 - Not Applicable,,,2025-12-26,2026-01-17,,2024-03-02,18,32,51,1974-09-24,Male,Associate Degree,"English, French",William Spencer,930.429.0671x06570,Pattern get light us together.
74,Stephanie,Wolfe,2046 Mccarthy Loaf,Juliamouth,PW,47532,993-738-2355x907,johnsondouglas@example.com,Resigned/Separated - Eligible for Rehire,,CHHA,37.43,3 - Meets Expectations,,,2025-12-26,2025-12-27,,2026-01-23,14,37,66,1959-04-03,Male,High School,"English, Spanish",Lisa Wagner,595-403-8685,Central of score yard high to.
75,Kelsey,Campbell,10102 Jackson Village,North Chelsea,AL,6500,+1-647-718-0547x3708,vhaynes@example.org,Resigned/Separated - Eligible for Rehire,,RN,38.49,1 - Unacceptable,,,2025-12-26,2025-12-27,,2025-04-06,37,9,74,1951-08-15,Male,4 year College,"English, Spanish",Lisa Perry,310.505.3668x202,Nature citizen rest young do partner.
76,Anne,Daugherty,1287 Brandon Ford Suite 256,North Kimberly,FL,39955,568.296.3587x23219,sjohnson@example.net,Resigned/Separated - Not Eligible for Rehire,,LPN,35.88,3 - Meets Expectations,,,2025-12-26,2026-01-08,,2024-09-26,13,9,43,1982-08-17,Male,4 year College,"English, Spanish",Leslie Wilson,921-771-8379x37280,American food benefit run try.
77,Christopher,Jordan,468 Jefferson Bridge Apt. 236,Emilyberg,PR,583,5889353914,nicholasfuller@example.net,Resigned/Separated - Eligible for Rehire,,CHHA,26.0,3 - Meets Expectations,,,2025-12-27,2026-01-17,,2026-07-02,37,19,36,1989-07-24,Male,4 year College,"English, French",Steven Ruiz,6373235904,Two section laugh.
